id,SMS,,,,,,,,,,
43357,Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...,,,,,,,,,
80330,Ok lar... Joking wif u oni...,,,,,,,,,,
66491,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,,,,,,,,
50479,U dun say so early hor... U c already then say...,,,,,,,,,,
72221,Nah I don't think he goes to usf, he lives around here though,,,,,,,,,
64127,FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv,,,,,,,,,
76179,Even my brother is not like to speak with me. They treat me like aids patent.,,,,,,,,,,
58007,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,,,,,,,
83400,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,,,,,,,,
72582,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,,,,,,,,
68202,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.,,,,,,,,,
40842,SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info,,,,,,,
52528,URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,,,,,,,,,
79999,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,,,,,,,,
21259,I HAVE A DATE ON SUNDAY WITH WILL!!,,,,,,,,,,
56056,XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,,,,,,,,,
46875,Oh k...i'm watching here:),,,,,,,,,,
29070,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,,,,,,,,
72495,Fine if thats the way u feel. Thats the way its gota b,,,,,,,,,,
32686,England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+,,,,,,,,,
55876,Is that seriously how you spell his name?,,,,,,,,,,
28229,I‘m going to try for 2 months ha ha only joking,,,,,,,,,,
